-63_31__3_57_2019-03-15.jpg,0.0690," (0, 0."
-63_31__3_57_2020-09-20.jpg,0.1381," (0, 0."
-63_31__3_62_2019-09-21.jpg,0.2885," (0, 0."
-63_31__3_66_2019-09-21.jpg,0.0238," (0, 0."
-63_59__3_705_2020-03-04.jpg,0.0000," (0, 0."
-63_59__3_705_2020-09-13.jpg,0.1818," (0, 0."
-63_59__3_75_2020-03-04.jpg,0.1435," (0, 0."
-63_6__3_7_2019-02-26.jpg,0.0000," (0, 0."
-63_635__3_705_2020-03-04.jpg,1.0000," (0, 0."
-63_635__3_705_2020-09-13.jpg,0.2500," (0, 0."
-63_635__3_705_2020-12-04.jpg,0.0000," (0, 0."
-63_635__3_75_2020-12-04.jpg,0.0000," (0, 0."
-63_67__2_485_2018-03-15.jpg,0.0000," (0, 0."
-63_675__3_705_2020-03-04.jpg,0.0714," (0, 0."
-63_675__3_705_2020-12-04.jpg,0.0000," (0, 0."
-63_675__3_75_2020-03-04.jpg,0.2794," (0, 0."
-63_675__3_75_2020-09-13.jpg,0.0000," (0, 0."
-63_675__3_75_2020-12-04.jpg,0.0556," (0, 0."
-63_68__3_7_2019-02-26.jpg,0.0147," (0, 0."
-63_68__3_74_2019-02-26.jpg,0.2500," (0, 0."
-63_71__2_485_2018-03-15.jpg,0.0714," (0, 0."
-63_88__2_5_2020-09-18.jpg,0.0885," (0, 0."
-63_92__2_5_2020-09-18.jpg,1.0000," (0, 0."
-63_96__2_5_2020-09-18.jpg,0.0021," (0, 0."
-64_0__2_5_2020-09-18.jpg,0.1500," (0, 0."
-70_86__-3_47_2021-01-17.jpg,0.3333," (0, 0."
-70_88__-3_81_2021-01-17.jpg,0.1667," (0, 0."
-70_9__-3_51_2021-01-17.jpg,0.5214," (0, 0."
-70_92__-3_81_2021-01-17.jpg,0.5455," (0, 0."
-70_94__-3_51_2021-01-17.jpg,0.2949," (0, 0."
-70_96__-3_81_2021-01-17.jpg,0.5000," (0, 0."
-70_98__-3_55_2021-01-17.jpg,0.0285," (0, 0."
-71_02__-3_51_2021-01-17.jpg,0.0000," (0, 0."
-71_02__-3_55_2021-01-17.jpg,0.0000," (0, 0."
-71_12__-3_77_2021-01-17.jpg,0.0211," (0, 0."
-71_12__-3_81_2021-01-17.jpg,1.0000," (0, 0."
-71_16__-3_81_2021-01-17.jpg,0.8333," (0, 0."
-71_31__-3_68_2021-01-17.jpg,0.3611," (0, 0."
-71_31__-3_72_2021-01-17.jpg,0.0909," (0, 0."
-71_35__-3_64_2021-01-17.jpg,0.6875," (0, 0."
-71_35__-3_68_2021-01-17.jpg,0.0000," (0, 0."
-71_35__-3_72_2021-01-17.jpg,0.5111," (0, 0."
-71_39__-3_68_2021-01-17.jpg,0.3769," (0, 0."
-71_48__-3_52_2021-01-17.jpg,0.0169," (0, 0."
-71_48__-3_56_2021-01-17.jpg,0.1472," (0, 0."
-71_52__-3_56_2021-01-17.jpg,0.0714," (0, 0."
-71_56__-3_48_2021-01-17.jpg,0.0000," (0, 0."
-71_56__-3_6_2021-01-17.jpg,0.0857," (0, 0."
-71_64__-3_48_2021-01-17.jpg,0.0000," (0, 0."
-71_68__-3_44_2021-01-17.jpg,0.5000," (0, 0."
-71_68__-3_48_2021-01-17.jpg,0.1111," (0, 0."
-71_68__-3_52_2021-01-17.jpg,0.0000," (0, 0."
-71_68__-3_56_2021-01-17.jpg,0.1111," (0, 0."
-73_74__-3_91_2019-09-03.jpg,0.0000," (0, 0."
-73_78__-3_91_2019-09-03.jpg,0.1111," (0, 0."
-73_82__-3_91_2019-09-03.jpg,0.0227," (0, 0."
-56_16__-2_54_2020-09-06.jpg,0.0414," (0, 0."
-56_2__-2_54_2020-09-06.jpg,1.0000," (1, 0."
-56_24__-2_5_2020-09-06.jpg,0.2000," (1, 0."
