-63_27__3_58_2019-09-21.jpg,0.5,0.0604,0.113919276,,,
-63_27__3_66_2019-09-21.jpg,0,ading m,ading m,,,
-63_31__3_57_2018-03-15.jpg,0.0769,0.0201,0.039407901,,,
-63_31__3_57_2019-03-15.jpg,0.0217,0.0143,0.028196786,,,
-63_31__3_57_2020-09-20.jpg,0.1538,0.0414,0.079508354,,,
-63_31__3_62_2019-09-21.jpg,0.225,0.0511,0.097231472,,,
-63_31__3_66_2019-09-21.jpg,0.125,0.0247,0.048209232,,,
-63_59__3_705_2020-03-04.jpg,0,ading m,ading m,,,
-63_59__3_705_2020-09-13.jpg,0.2019,0.0487,0.092876895,,,
-63_59__3_75_2020-03-04.jpg,0.1053,0.0326,0.063141584,,,
-63_6__3_7_2019-02-26.jpg,0.1,0.0319,0.061827696,,,
-63_635__3_705_2020-03-04.jpg,0.8333,0.0683,0.127866704,,,
-63_635__3_705_2020-09-13.jpg,0.25,0.0311,0.060323926,,,
-63_635__3_705_2020-12-04.jpg,0,ading m,ading m,,,
-63_635__3_75_2020-12-04.jpg,0.0263,0.016,0.031496063,,,
-63_67__2_485_2018-03-15.jpg,0,ading m,ading m,,,
-63_675__3_705_2020-03-04.jpg,0.125,0.0292,0.056743101,,,
-63_675__3_705_2020-12-04.jpg,0,ading m,ading m,,,
-63_675__3_75_2020-03-04.jpg,0.2616,0.0353,0.068192794,,,
-63_675__3_75_2020-09-13.jpg,0,ading m,ading m,,,
-63_675__3_75_2020-12-04.jpg,0.1429,0.026,0.050682261,,,
-63_68__3_7_2019-02-26.jpg,0,ading m,ading m,,,
-63_68__3_74_2019-02-26.jpg,1,0.0419,0.080429984,,,
-63_71__2_485_2018-03-15.jpg,0.5,0.037,0.071359691,,,
-63_88__2_5_2020-09-18.jpg,0.0826,0.0457,0.087405566,,,
-63_92__2_5_2020-09-18.jpg,1,0.1009,0.183304569,,,
-63_96__2_5_2020-09-18.jpg,0.0032,0.0073,0.014494192,,,
-64_0__2_5_2020-09-18.jpg,0.0496,0.0244,0.047637642,,,
-70_86__-3_47_2021-01-17.jpg,0.1111,0.0236,0.046111762,,,
-70_88__-3_81_2021-01-17.jpg,0.1667,0.0274,0.053338524,,,
-70_9__-3_51_2021-01-17.jpg,0.4333,0.0781,0.144884519,,,
-70_92__-3_81_2021-01-17.jpg,0.527,0.0468,0.089415361,,,
-70_94__-3_51_2021-01-17.jpg,0.3101,0.0888,0.163115356,,,
