-52_19__0_58_2019-09-24.jpg,0.25,"0, 0.0324",0.0324,0.040994406,"0, 0.0369",0.0369,0.029361538,,0.06276637,0.077663364,0.071173691,0.055515348,,pvalue ill,,,,pvalue leg,
-52_19__0_62_2019-09-24.jpg,0.6667,"0, 0.0650",0.065,0.024965503,"0, 0.0138",0.0138,0.02979528,,0.122065728,0.045751691,0.027224305,0.053068782,,-0.0045,25,,,-0.1141,13
-52_19__0_66_2019-09-24.jpg,0.125,"0, 0.0325",0.0325,,"0, 0.0400",0.04,,,0.062953995,,0.076923077,,,0.0512,,,,-0.0221,
-52_23__0_58_2019-09-24.jpg,0.1802,"0, 0.0352",0.0352,0.071335897,"0, 0.0296",0.0296,0.059529231,,0.068006182,0.126296482,0.057498057,0.103664806,,-0.0075,,,,-0.04,
-52_23__0_66_2019-09-24.jpg,0.25,"0, 0.0353",0.0353,0.069931217,"0, 0.0160",0.016,0.075904944,,0.068192794,0.105943745,0.031496063,0.12209298,,0.0056,,,,-0.0714,
-52_27__0_58_2019-09-24.jpg,0.25,"0, 0.0327",0.0327,,"0, 0.0210",0.021,,,0.063329137,,0.041136141,,,0.0193,,,,0.29,
-52_27__0_66_2019-09-24.jpg,0.2,"0, 0.0312",0.0312,,"0, 0.0163",0.0163,,,0.060512025,,0.032077143,,,0.0117,,,,0,
-52_27__0_7_2019-09-24.jpg,0.8333,"0, 0.0703",0.0703,,"0, 0.0370",0.037,,,0.131365038,,0.071359691,,,0.0149,,,,-0.1237,
-52_27__0_74_2019-09-24.jpg,0.5,"0, 0.0378",0.0378,,"0, 0.0372",0.0372,,,0.072846406,,0.071731585,,,0.0333,,,,0.0499,
-52_31__0_74_2019-09-24.jpg,0.3333,"0, 0.0348",0.0348,,"0, 0.0005",0.0005,,,0.067259374,,0.0009995,,,0.0006,,,,0.057,
-52_35__0_7_2019-09-24.jpg,0.3088,"0, 0.0542",0.0542,,"0, 0.0521",0.0521,,,0.102826788,,0.099040015,,,0.0343,,,,0.0116,
-52_35__0_74_2019-09-24.jpg,0.0312,"0, 0.0115",0.0115,,"0, 0.0254",0.0254,,,0.022738507,,0.049541642,,,0.0021,,,,-0.085,
-52_95__-0_11_2018-10-14.jpg,0,"0, 0.0)\n",0,,"0, 0.0)\n",0,,,0,,0,,,-0.0139,,,,0.046,
-52_95__-0_15_2018-10-14.jpg,0.3333,"0, 0.0359",0.0359,,"0, 0.0167",0.167,,,0.06931171,,0.286203942,,,0,,,,-0.3014,
-52_95__-0_19_2018-10-14.jpg,0.4923,"0, 0.0735",0.0735,,"0, 0.0361",0.0361,,,0.136935259,,0.069684393,,,-0.1311,,,,-0.1772,
-52_95__-0_23_2018-10-14.jpg,0.0476,"0, 0.0163",0.0163,,"0, 0.0030",0.003,,,0.032077143,,0.005982054,,,0.0374,,,,0.0248,
-52_95__-0_27_2018-10-14.jpg,0.0769,"0, 0.0208",0.0208,,"0, 0.0228",0.0228,,,0.040752351,,0.044583496,,,0.0133,,,,0.0377,
-52_99__-0_07_2018-10-14.jpg,0.1,"0, 0.0288",0.0288,,"0, 0.0)\n",0,,,0.055987558,,0,,,-0.002,,,,0.0238,
-52_99__-0_19_2018-10-14.jpg,0.1667,"0, 0.0311",0.0311,,"0, 0.0313",0.0313,,,0.060323926,,0.060700087,,,0.0288,,,,0.0551,
-52_99__-0_23_2018-10-14.jpg,0.2,"0, 0.0319",0.0319,,"0, 0.0348",0.0348,,,0.061827696,,0.067259374,,,-0.0002,,,,0.0685,
-53_03__0_01_2018-10-14.jpg,0.5,"0, 0.0389",0.0389,,"0, 0.0195",0.0195,,,0.0748869,,0.038254046,,,-0.0029,,,,0.0572,
-53_03__-0_15_2018-10-14.jpg,0.1667,"0, 0.0297",0.0297,,"0, 0.0)\n",0,,,0.057686705,,0,,,0.0194,,,,0.0436,
-53_03__-0_27_2018-10-14.jpg,0.1667,"0, 0.0297",0.0297,,"0, 0.0053",0.0053,,,0.057686705,,0.010544116,,,0.0297,,,,-0.0103,
-53_03__-0_31_2018-10-14.jpg,0.0935,"0, 0.0390",0.039,,"0, 0.0402",0.0402,,,0.075072185,,0.077292828,,,0.0244,,,,0.0292,
-53_07__0_01_2018-10-14.jpg,1,"0, 0.0656",0.0656,,"0, 0.0003",0.0003,,,0.123123123,,0.00059982,,,-0.0012,,,,0.07836,
-53_07__-0_31_2018-10-14.jpg,0.4607,"0, 0.1064",0.1064,,"0, 0.0924",0.0924,,,0.192335503,,0.169168803,,,0.0653,,,,0.0611,
-53_11__0_01_2018-10-14.jpg,1,"0, 0.0567",0.0567,,"0, 0.0)\n",0,,,0.107315227,,0,,,0.014,,,,-0.0277,
-53_11__-0_31_2018-10-14.jpg,1,"0, 0.0825",0.0825,,"0, 0.0020",0.002,,,0.152424942,,0.003992016,,,0.0567,,,,0.0133,
-53_15__-0_03_2018-10-14.jpg,0.8333,"0, 0.1070",0.107,,"0, 0.0609",0.0609,,,0.193315266,,0.114808182,,,0.0805,,,,0.0384,
-53_15__0_05_2018-10-14.jpg,1,"0, 0.0506",0.0506,,"0, 0.0)\n",0,,,0.096325909,,0,,,0.0461,,,,-0.0091,
-53_15__-0_07_2018-10-14.jpg,1,"0, 0.0776",0.0776,,"0, 0.0741",0.0741,,,0.144023756,,0.13797598,,,0.0506,,,,-0.0014,
-53_15__-0_11_2018-10-14.jpg,0.5,"0, 0.0434",0.0434,,"0, 0.0320",0.032,,,0.083189573,,0.062015504,,,0.0035,,,,-0.0262,
-53_15__-0_23_2018-10-14.jpg,0.5,"0, 0.0657",0.0657,,"0, 0.0218",0.0218,,,0.12329924,,0.042669798,,,0.0114,,,,0.022,
-53_18__-0_05_2019-09-24.jpg,0.04,"0, 0.0144",0.0144,,"0, 0.0137",0.0137,,,0.028391167,,0.027029693,,,0.0439,,,,0.0551,
-53_18__-0_09_2019-09-24.jpg,0.2,"0, 0.0310",0.031,,"0, 0.0265",0.0265,,,0.06013579,,0.051631758,,,0.0007,,,,0.0381,
-53_19__0_01_2018-10-14.jpg,0.125,"0, 0.0292",0.0292,,"0, 0.0343",0.0343,,,0.056743101,,0.066325051,,,0.0045,,,,0.0034,
-53_19__-0_03_2018-10-14.jpg,0.0111,"0, 0.0002",0.0002,,"0, 0.0033",0.0033,,,0.00039992,,0.006578292,,,-0.0051,,,,0.0444,
-53_19__0_05_2018-10-14.jpg,0,"0, 0.0)\n",0,,"0, 0.0315",0.0315,,,0,,0.061076103,,,-0.0031,,,,0,
-53_19__-0_07_2018-10-14.jpg,0.3333,"0, 0.0396",0.0396,,"0, 0.0341",0.0341,,,0.076183147,,0.065951069,,,-0.0315,,,,0.3161,
-53_19__-0_11_2018-10-14.jpg,0.2,"0, 0.0398",0.0398,,"0, 0.0236",0.0236,,,0.076553183,,0.046111762,,,0.0055,,,,0.0054,
-53_19__-0_23_2018-10-14.jpg,0.0714,"0, 0.0266",0.0266,,"0, 0.0)\n",0,,,0.051821547,,0,,,0.0162,,,,,
-53_19__-0_27_2018-10-14.jpg,1,"0, 0.0454",0.0454,,"0, 0.0315",0.0315,,,0.086856706,,0.061076103,,,0.0266,,,,,
-53_19__-0_31_2018-10-14.jpg,1,"0, 0.0665",0.0665,,"0, 0.0429",0.0429,,,0.124706985,,0.082270592,,,0.0139,,,,,
-53_23__-0_07_2018-10-14.jpg,0.3333,"0, 0.0362",0.0362,,"0, 0.0313",0.0313,,,0.069870681,,0.060700087,,,0.0236,,,,,
-53_23__-0_19_2018-10-14.jpg,0.2222,"0, 0.0562",0.0562,,"0, 0.0424",0.0424,,,0.106419239,,0.081350729,,,0.0049,,,,,
-53_23__-0_27_2018-10-14.jpg,1,"0, 0.0684",0.0684,,"0, 0.0)\n",0,,,0.128041932,,0,,,0.0138,,,,,
-53_26__-0_05_2019-09-24.jpg,0.375,"0, 0.0616",0.0616,,"0, 0.0544",0.0544,,,0.116051243,,0.103186646,,,0.0684,,,,,
-53_26__-0_09_2019-09-24.jpg,0.5,"0, 0.0658",0.0658,,"0, 0.0658",0.0658,,,0.123475324,,0.123475324,,,0.0072,,,,,
-53_27__-0_03_2018-10-14.jpg,1,"0, 0.0470",0.047,,"0, 0.0380",0.038,,,0.089780325,,0.073217726,,,0,,,,,
-53_27__0_05_2018-10-14.jpg,1,"0, 0.0479",0.0479,,"0, 0.0440",0.044,,,0.091420937,,0.084291188,,,0.009,,,,,
-53_27__-0_07_2018-10-14.jpg,0.1667,"0, 0.0297",0.0297,,"0, 0.0252",0.0252,,,0.057686705,,0.049161139,,,0.0039,,,,,
-53_3__-0_05_2019-09-24.jpg,0.125,"0, 0.0325",0.0325,,"0, 0.0240",0.024,,,0.062953995,,0.046875,,,0.0045,,,,,
-53_31__-0_07_2018-10-14.jpg,0.75,"0, 0.0761",0.0761,,"0, 0.0592",0.0592,,,0.141436669,,0.111782477,,,0.0085,,,,,
-53_31__-0_11_2018-10-14.jpg,0.1429,"0, 0.0338",0.0338,,"0, 0.0)\n",0,,,0.065389824,,0,,,0.0169,,,,,
-53_31__-0_15_2018-10-14.jpg,0.1738,"0, 0.0617",0.0617,,"0, 0.0644",0.0644,,,0.11622869,,0.12100714,,,0.0338,,,,,
-53_38__-0_05_2019-09-24.jpg,0,"0, 0.0)\n",0,,"0, 0.0)\n",0,,,0,,0,,,-0.0027,,,,,
