image;loss;accuracy;iou;dice;tp;tn
./data/test/image/-73_82__-3_91_2019-09-03.jpg;0.028976887464523315;0.0009307861328125;0.8158618211746216;0.8985968232154846;1.0;1.0
./data/test/image/-53_03__-0_15_2018-10-14.jpg;0.00479257432743907;0.0;0.7595099210739136;0.8633452653884888;1.0;1.0
./data/test/image/-53_15__-0_11_2018-10-14.jpg;0.009692687541246414;4.1961669921875e-05;0.8417088389396667;0.9140568375587463;1.0;1.0
./data/test/image/-70_86__-3_47_2021-01-17.jpg;0.002863773610442877;0.0;0.5635355710983276;0.7210276126861572;1.0;1.0
./data/test/image/-53_27__0_01_2018-10-14.jpg;0.0019289131741970778;7.62939453125e-06;0.7851879000663757;0.879718005657196;1.0;1.0
./data/test/image/-53_7__0_4_2019-09-24.jpg;0.005123951472342014;0.0136566162109375;0.04796561598777771;0.0931025817990303;1.0;1.0
./data/test/image/-53_03__-0_23_2018-10-14.jpg;0.0036045568995177746;0.0;0.6914399266242981;0.817634642124176;1.0;1.0
./data/test/image/-53_78__0_36_2019-09-24.jpg;0.006446283310651779;0.0;0.7701867818832397;0.8701924085617065;1.0;1.0
./data/test/image/-53_38__-0_17_2019-09-24.jpg;0.0007474524900317192;0.0;0.5388954281806946;0.7011353969573975;1.0;1.0
./data/test/image/-71_56__-3_52_2021-01-17.jpg;0.0015241955406963825;0.0;0.913296639919281;0.9546923041343689;1.0;1.0
./data/test/image/-53_42__-0_13_2019-09-24.jpg;0.001443724730052054;0.0;0.795580267906189;0.8862116932868958;1.0;1.0
./data/test/image/-53_78__0_44_2019-09-24.jpg;0.00044910324504598975;0.0;0.19237886369228363;0.33002933859825134;1.0;1.0
./data/test/image/-53_78__0_32_2019-09-24.jpg;0.000864448316860944;0.0;0.2526422142982483;0.4062066674232483;1.0;1.0
./data/test/image/-71_02__-3_55_2021-01-17.jpg;0.01255310233682394;0.000759124755859375;0.8933707475662231;0.943684458732605;1.0;1.0
./data/test/image/-53_9__0_56_2019-09-24.jpg;0.0012722219107672572;7.2479248046875e-05;0.26942992210388184;0.42622819542884827;1.0;1.0
./data/test/image/-63_6__3_7_2019-02-26.jpg;0.0150914266705513;0.00153350830078125;0.8086804747581482;0.8942261338233948;1.0;1.0
./data/test/image/-63_19__3_62_2019-09-21.jpg;0.004183076322078705;0.00017547607421875;0.6743271946907043;0.805550754070282;1.0;1.0
./data/test/image/-53_23__0_01_2018-10-14.jpg;0.0011546023888513446;0.0;0.7927311062812805;0.8844597339630127;1.0;1.0
./data/test/image/-71_16__-3_77_2021-01-17.jpg;0.0006194488960318267;0.0;0.7288904786109924;0.8434487581253052;1.0;1.0
./data/test/image/-63_19__3_58_2019-09-21.jpg;0.0018828678876161575;0.00067138671875;0.33619239926338196;0.5041612982749939;1.0;1.0
./data/test/image/-63_675__3_705_2020-03-04.jpg;0.020473197102546692;0.0042724609375;0.8477189540863037;0.9175863862037659;1.0;1.0
./data/test/image/-70_94__-3_43_2021-01-17.jpg;0.0006793985376134515;0.0;0.7021494507789612;0.825320303440094;1.0;1.0
./data/test/image/-63_23__3_57_2018-03-15.jpg;4.725225153379142e-06;0.0;0.0012049524812027812;0.778950035572052;1.0;1.0
./data/test/image/-52_99__-0_23_2018-10-14.jpg;0.006725739222019911;0.000484466552734375;0.8180424571037292;0.899925172328949;1.0;1.0
./data/test/image/-52_23__0_7_2019-09-24.jpg;0.0004149183223489672;0.0;0.6999738812446594;0.8240174651145935;1.0;1.0
./data/test/image/-53_15__-0_31_2018-10-14.jpg;0.0008415899937972426;0.0;0.6116847395896912;0.7595002055168152;1.0;1.0
