-52_19__0_62_2019-09-24.jpg,0.5,0.0369,0.071173691,,mean IoU,mean Dice,,ilegalTrue vs ilegalAgri,,,,,
-53_31__-0_07_2018-10-14.jpg,0.125,0.0292,0.056743101,,,,,0.06501548,0.06501548,-1.23839E-10,,,
-53_31__-0_11_2018-10-14.jpg,0.4167,0.0598,0.112851481,,,,,0.06501548,0.044201056,0.020814424,,,
-53_31__-0_15_2018-10-14.jpg,0.0227,0.0082,0.016266614,,,,,0.056743101,0.050872235,0.005870866,,,
-53_38__-0_05_2019-09-24.jpg,0.1699,0.0545,0.103366524,,,,,0.112851481,0.140745561,-0.02789408,,,
-53_38__-0_13_2019-09-24.jpg,0.0135,0.003,0.005982054,,,,,0.016266614,ading m,#VALEUR!,,,
-53_38__-0_21_2019-09-24.jpg,0.0135,0.003,0.005982054,,,,,0.103366524,0.105522402,-0.002155878,,,
-53_42__-0_05_2019-09-24.jpg,0.1429,0.026,0.050682261,,,,,0.005982054,ading m,#VALEUR!,,,
-53_42__-0_09_2019-09-24.jpg,0.2857,0.0524,0.099581908,,,,,0.005982054,0.010939831,-0.004957777,,,
-53_42__-0_13_2019-09-24.jpg,0.5,0.0369,0.071173691,,,,,0.050682261,0.034977402,0.015704859,,,
-53_42__-0_21_2019-09-24.jpg,0.0333,0.012,0.023715415,,,,,0.099581908,0.132237579,-0.032655671,,,
-53_42__-0_25_2019-09-24.jpg,1,0.0419,0.080429984,,,,,0.071173691,0.071173691,-1.90857E-10,,,
-53_7__0_44_2019-09-24.jpg,0,ading m,ading m,,,,,0.023715415,0.038061605,-0.01434619,,,
-53_74__0_28_2019-09-24.jpg,0.5,0.0369,0.071173691,,,,,0.080429984,0.163284048,-0.082854064,,,
-53_74__0_44_2019-09-24.jpg,0.2,0.0291,0.056554271,,,,,ading m,ading m,#VALEUR!,,,
-53_74__0_48_2019-09-24.jpg,0.0667,0.0187,0.036713458,,,,,0.071173691,0.038061605,0.033112086,,,
-53_78__0_32_2019-09-24.jpg,0.2381,0.0501,0.095419484,,,,,0.056554271,0.056931895,-0.000377624,,,
-53_78__0_36_2019-09-24.jpg,0,ading m,ading m,,,,,0.036713458,0.002596624,0.034116834,,,
-53_78__0_44_2019-09-24.jpg,0.0147,0.0039,0.007769698,,,,,0.095419484,0.063516654,0.03190283,,,
-53_78__0_52_2019-09-24.jpg,0.2,0.0291,0.056554271,,,,,ading m,ading m,#VALEUR!,,,
-53_8__0_31_2019-09-24.jpg,0.5,0.0369,0.071173691,,,,,0.007769698,0.06501548,-0.057245782,,,
-53_82__0_32_2019-09-24.jpg,0,ading m,ading m,,,,,0.056554271,0.051821547,0.004732724,,,
-53_82__0_48_2019-09-24.jpg,0.0975,0.035,0.06763285,,,,,0.071173691,0.056554271,0.01461942,,,
-53_86__0_32_2019-09-24.jpg,0,ading m,ading m,,,,,ading m,0.011928429,#VALEUR!,,,
-53_86__0_36_2019-09-24.jpg,0.0729,0.0316,0.061264056,,,,,0.06763285,0.078585839,-0.010952989,,,
-53_86__0_52_2019-09-24.jpg,0.1528,0.0465,0.088867654,,,,,ading m,ading m,#VALEUR!,,,
-53_86__0_56_2019-09-24.jpg,0.0251,0.0113,0.022347474,,,,,0.061264056,0.018232263,0.043031793,,,
-53_9__0_48_2019-09-24.jpg,0.0111,0.0011,0.002197583,,,,,0.088867654,0.05806389,0.030803764,,,
-53_9__0_56_2019-09-24.jpg,0.0286,0.0105,0.020781791,,,,,0.022347474,0.052201013,-0.029853539,,,
-60_86__-2_98_2020-07-29.jpg,0,ading m,ading m,,,,,0.002197583,0.002995507,-0.000797924,,,
-60_86__-3_02_2020-07-29.jpg,0.75,0.0663,0.124355247,,,,,0.020781791,0.002596624,0.018185167,,,
-63_23__3_57_2020-09-20.jpg,0.0244,0.0089,0.017642978,,,,,ading m,ading m,#VALEUR!,,,
-63_23__3_66_2019-09-21.jpg,0.0833,0.0209,0.040944265,,,,,0.124355247,0.098317011,0.026038236,,,
-63_27__3_58_2019-09-21.jpg,0.2576,0.0522,0.09922068,,,,,0.017642978,0.046111762,-0.028468784,,,
-63_27__3_66_2019-09-21.jpg,0.0714,0.0248,0.048399688,,,,,0.040944265,ading m,#VALEUR!,,,
-63_31__3_57_2018-03-15.jpg,0.0476,0.0155,0.030526834,,,,,0.09922068,0.113919276,-0.014698596,,,
-63_31__3_57_2019-03-15.jpg,0.2857,0.0541,0.102646808,,,,,0.048399688,ading m,#VALEUR!,,,
-63_31__3_57_2020-09-20.jpg,0.2857,0.051,0.097050428,,,,,0.030526834,0.039407901,-0.008881067,,,
-63_31__3_62_2019-09-21.jpg,0.3095,0.0561,0.106239939,,,,,0.102646808,0.028196786,0.074450022,,,
-63_31__3_66_2019-09-21.jpg,0.0714,0.0194,0.038061605,,,,,0.097050428,0.079508354,0.017542074,,,
-63_59__3_705_2020-03-04.jpg,0.0185,0.0062,0.012323594,,,,,0.106239939,0.097231472,0.009008467,,,
-63_59__3_705_2020-09-13.jpg,0.0545,0.026,0.050682261,,,,,0.038061605,0.048209232,-0.010147627,,,
-63_59__3_75_2020-03-04.jpg,0.1667,0.0312,0.060512025,,,,,0.012323594,ading m,#VALEUR!,,,
