-60_86__-2_98_2020-07-29.jpg,0.54,"0, 0.0525"
-60_86__-3_02_2020-07-29.jpg,0.5,"0, 0.0369"
-63_23__3_57_2020-09-20.jpg,0,"0, 0.0)\n"
-63_23__3_66_2019-09-21.jpg,0.2576,"0, 0.0532"
-63_27__3_58_2019-09-21.jpg,0,"0, 0.0)\n"
-63_27__3_66_2019-09-21.jpg,0.05,"0, 0.0163"
-63_31__3_57_2018-03-15.jpg,0.069,"0, 0.0291"
-63_31__3_57_2019-03-15.jpg,0.1381,"0, 0.0438"
-63_31__3_57_2020-09-20.jpg,0.2885,"0, 0.0480"
-63_31__3_62_2019-09-21.jpg,0.0238,"0, 0.0086"
-63_31__3_66_2019-09-21.jpg,0,"0, 0.0)\n"
-63_59__3_705_2020-03-04.jpg,0.1818,"0, 0.0448"
-63_59__3_705_2020-09-13.jpg,0.1435,"0, 0.0356"
-63_59__3_75_2020-03-04.jpg,0,"0, 0.0)\n"
-63_6__3_7_2019-02-26.jpg,1,"0, 0.0723"
-63_635__3_705_2020-03-04.jpg,0.25,"0, 0.0336"
-63_635__3_705_2020-09-13.jpg,0,"0, 0.0)\n"
-63_635__3_705_2020-12-04.jpg,0,"0, 0.0)\n"
-63_635__3_75_2020-12-04.jpg,0,"0, 0.0)\n"
-63_67__2_485_2018-03-15.jpg,0.0714,"0, 0.0261"
-63_675__3_705_2020-03-04.jpg,0,"0, 0.0)\n"
-63_675__3_705_2020-12-04.jpg,0.2794,"0, 0.0478"
-63_675__3_75_2020-03-04.jpg,0,"0, 0.0)\n"
-63_675__3_75_2020-09-13.jpg,0.0556,"0, 0.0172"
-63_675__3_75_2020-12-04.jpg,0.0147,"0, 0.0035"
-63_68__3_7_2019-02-26.jpg,0.25,"0, 0.0336"
-63_68__3_74_2019-02-26.jpg,0.0714,"0, 0.0255"
-63_71__2_485_2018-03-15.jpg,0.0885,"0, 0.0409"
-63_88__2_5_2020-09-18.jpg,1,"0, 0.0422"
-63_92__2_5_2020-09-18.jpg,0.0021,"0, 0.0034"
-63_96__2_5_2020-09-18.jpg,0.15,"0, 0.0390"
-64_0__2_5_2020-09-18.jpg,0.3333,"0, 0.0343"
-70_86__-3_47_2021-01-17.jpg,0.1667,"0, 0.0276"
-70_88__-3_81_2021-01-17.jpg,0.5214,"0, 0.0801"
-70_9__-3_51_2021-01-17.jpg,0.5455,"0, 0.0521"
-70_92__-3_81_2021-01-17.jpg,0.2949,"0, 0.0887"
