-63_23__3_66_2019-09-21.jpg,0.0714,0.0194,0.038061605,,,
-63_27__3_58_2019-09-21.jpg,0.8333,0.0683,0.127866704,,,
-63_27__3_66_2019-09-21.jpg,0,ading m,ading m,,,
-63_31__3_57_2018-03-15.jpg,0.0556,0.017,0.033431662,,,
-63_31__3_57_2019-03-15.jpg,0.3333,0.0537,0.101926545,,,
-63_31__3_57_2020-09-20.jpg,0.1244,0.0363,0.070056933,,,
-63_31__3_62_2019-09-21.jpg,0.2381,0.0501,0.095419484,,,
-63_31__3_66_2019-09-21.jpg,0.1667,0.0274,0.053338524,,,
-63_59__3_705_2020-03-04.jpg,0,ading m,ading m,,,
-63_59__3_705_2020-09-13.jpg,0.5,0.0629,0.118355443,,,
-63_59__3_75_2020-03-04.jpg,0.1548,0.045,0.086124402,,,
-63_6__3_7_2019-02-26.jpg,0,ading m,ading m,,,
-63_635__3_705_2020-03-04.jpg,0.3929,0.0586,0.110712261,,,
-63_635__3_705_2020-09-13.jpg,0.25,0.0311,0.060323926,,,
-63_635__3_705_2020-12-04.jpg,0.0556,0.0227,0.044392295,,,
-63_635__3_75_2020-12-04.jpg,0.0156,0.0111,0.021956285,,,
-63_67__2_485_2018-03-15.jpg,0.1111,0.0236,0.046111762,,,
-63_675__3_705_2020-03-04.jpg,0.0312,0.0135,0.026640355,,,
-63_675__3_705_2020-12-04.jpg,0.011,0.001,0.001998002,,,
-63_675__3_75_2020-03-04.jpg,0.5769,0.0566,0.107136097,,,
-63_675__3_75_2020-09-13.jpg,0,ading m,ading m,,,
-63_675__3_75_2020-12-04.jpg,0.5,0.0369,0.071173691,,,
-63_68__3_7_2019-02-26.jpg,1,0.0419,0.080429984,,,
-63_68__3_74_2019-02-26.jpg,0.5,0.0369,0.071173691,,,
-63_71__2_485_2018-03-15.jpg,0.3269,0.0532,0.101025446,,,
-63_88__2_5_2020-09-18.jpg,0.0729,0.0396,0.076183147,,,
-63_92__2_5_2020-09-18.jpg,1,0.0419,0.080429984,,,
-63_96__2_5_2020-09-18.jpg,0.1834,0.088,0.161764706,,,
-64_0__2_5_2020-09-18.jpg,0.5476,0.0522,0.09922068,,,
-70_86__-3_47_2021-01-17.jpg,0.1667,0.0274,0.053338524,,,
-70_88__-3_81_2021-01-17.jpg,0.3333,0.0336,0.06501548,,,
-70_9__-3_51_2021-01-17.jpg,0.25,0.0692,0.129442574,,,
-70_92__-3_81_2021-01-17.jpg,0.54,0.0505,0.096144693,,,
-70_94__-3_51_2021-01-17.jpg,0.5286,0.1131,0.203216243,,,
-70_96__-3_81_2021-01-17.jpg,0.3333,0.0336,0.06501548,,,
-70_98__-3_55_2021-01-17.jpg,0.1613,0.0509,0.09686935,,,
-71_02__-3_51_2021-01-17.jpg,0.0219,0.0128,0.025276461,,,
-71_02__-3_55_2021-01-17.jpg,0.0833,0.0209,0.040944265,,,
-71_12__-3_77_2021-01-17.jpg,0.3,0.0712,0.132935026,,,
-71_12__-3_81_2021-01-17.jpg,0.3333,0.0336,0.06501548,,,
-71_16__-3_81_2021-01-17.jpg,0.75,0.0883,0.162271433,,,
-71_31__-3_68_2021-01-17.jpg,0.6,0.0589,0.111247521,,,
-71_31__-3_72_2021-01-17.jpg,0.2,0.0291,0.056554271,,,
-71_35__-3_64_2021-01-17.jpg,0.5536,0.0787,0.145916381,,,
-71_35__-3_68_2021-01-17.jpg,0.1,0.0226,0.044201056,,,
-71_35__-3_72_2021-01-17.jpg,0.1722,0.0611,0.11516351,,,
-71_39__-3_68_2021-01-17.jpg,0.5778,0.082,0.151571165,,,
-71_48__-3_52_2021-01-17.jpg,0.1,0.0226,0.044201056,,,
-71_48__-3_56_2021-01-17.jpg,0.5,0.0604,0.113919276,,,
-71_52__-3_56_2021-01-17.jpg,1,0.0419,0.080429984,,,
-71_56__-3_48_2021-01-17.jpg,0,ading m,ading m,,,
-71_56__-3_6_2021-01-17.jpg,0.2917,0.0689,0.128917579,,,
-71_64__-3_48_2021-01-17.jpg,0.1667,0.0274,0.053338524,,,
-71_68__-3_44_2021-01-17.jpg,0.125,0.0247,0.048209232,,,
-71_68__-3_48_2021-01-17.jpg,0.125,0.0247,0.048209232,,,
-71_68__-3_52_2021-01-17.jpg,0.5,0.0369,0.071173691,,,
-71_68__-3_56_2021-01-17.jpg,0.1667,0.0274,0.053338524,,,
-73_74__-3_91_2019-09-03.jpg,0,ading m,ading m,,,
-73_78__-3_91_2019-09-03.jpg,0.0103,0.0004,0.00079968,,,
-73_82__-3_91_2019-09-03.jpg,0.1667,0.0274,0.053338524,,,
